loan_status,fico_range_low,fico_range_high,int_rate,dti,term,verification_status,grade,sub_grade,issue_d,annual_inc,purpose,default_flag,fico_mid,fico_bucket,int_rate_clean,int_rate_bucket,dti_bucket,term_numeric,issue_year
Charged Off,705,709,1288.00%,5.51,60 months,Not Verified,C,C2,Dec-2015,130000,home_improvement,1,707,700-749,0.1288,10-15%,0-20%,60,2015
Current,735,739,917.00%,28.96,60 months,Not Verified,B,B2,Dec-2015,52000,debt_consolidation,0,737,700-749,0.0917,<10%,20-35%,60,2015
Fully Paid,760,764,649.00%,8.51,36 months,Not Verified,A,A2,Dec-2015,35037,credit_card,0,762,750+,0.0649,<10%,0-20%,36,2015
Fully Paid,690,694,532.00%,19.24,36 months,Source Verified,A,A1,Dec-2015,50000,debt_consolidation,0,692,650-699,0.0532,<10%,0-20%,36,2015
Fully Paid,660,664,1344.00%,9.99,60 months,Source Verified,C,C3,Dec-2015,140000,debt_consolidation,0,662,650-699,0.1344,10-15%,0-20%,60,2015
Fully Paid,710,714,791.00%,18.89,36 months,Source Verified,A,A5,Dec-2015,165000,debt_consolidation,0,712,700-749,0.0791,<10%,0-20%,36,2015
Fully Paid,675,679,1288.00%,36.4,36 months,Not Verified,C,C2,Dec-2015,60000,debt_consolidation,0,677,650-699,0.1288,10-15%,35-45%,36,2015
Fully Paid,665,669,1577.00%,16.85,36 months,Source Verified,D,D1,Dec-2015,84468,debt_consolidation,0,667,650-699,0.1577,15-20%,0-20%,36,2015
Fully Paid,670,674,849.00%,27.17,36 months,Source Verified,B,B1,Dec-2015,55000,credit_card,0,672,650-699,0.0849,<10%,20-35%,36,2015
Charged Off,685,689,980.00%,25.15,36 months,Not Verified,B,B3,Dec-2015,40000,debt_consolidation,1,687,650-699,0.098,<10%,20-35%,36,2015
Fully Paid,805,809,1288.00%,30.08,60 months,Not Verified,C,C2,Dec-2015,50000,debt_consolidation,0,807,750+,0.1288,10-15%,20-35%,60,2015
Fully Paid,695,699,849.00%,7.04,60 months,Source Verified,B,B1,Dec-2015,175000,debt_consolidation,0,697,650-699,0.0849,<10%,0-20%,60,2015
Fully Paid,710,714,1199.00%,14.98,36 months,Verified,C,C1,Dec-2015,156000,credit_card,0,712,700-749,0.1199,10-15%,0-20%,36,2015
Fully Paid,745,749,917.00%,12.13,36 months,Source Verified,B,B2,Dec-2015,100000,debt_consolidation,0,747,700-749,0.0917,<10%,0-20%,36,2015
Fully Paid,665,669,917.00%,23.98,36 months,Verified,B,B2,Dec-2015,66000,debt_consolidation,0,667,650-699,0.0917,<10%,20-35%,36,2015
Fully Paid,725,729,791.00%,29.22,36 months,Verified,A,A5,Dec-2015,66500,home_improvement,0,727,700-749,0.0791,<10%,20-35%,36,2015
Fully Paid,675,679,1989.00%,29.91,60 months,Verified,E,E3,Dec-2015,74000,debt_consolidation,0,677,650-699,0.1989,15-20%,20-35%,60,2015
Fully Paid,670,674,849.00%,15.15,36 months,Not Verified,B,B1,Dec-2015,48000,credit_card,0,672,650-699,0.0849,<10%,0-20%,36,2015
Fully Paid,730,734,1078.00%,29.75,36 months,Not Verified,B,B4,Dec-2015,100000,debt_consolidation,0,732,700-749,0.1078,10-15%,20-35%,36,2015
Current,670,674,1344.00%,5.73,60 months,Not Verified,C,C3,Dec-2015,150000,other,0,672,650-699,0.1344,10-15%,0-20%,60,2015
Fully Paid,690,694,1288.00%,21.59,36 months,Source Verified,C,C2,Dec-2015,113000,credit_card,0,692,650-699,0.1288,10-15%,20-35%,36,2015
Fully Paid,685,689,791.00%,18.45,36 months,Not Verified,A,A5,Dec-2015,81120,debt_consolidation,0,687,650-699,0.0791,<10%,0-20%,36,2015
Fully Paid,665,669,1849.00%,23.96,36 months,Verified,D,D5,Dec-2015,54744,debt_consolidation,0,667,650-699,0.1849,15-20%,20-35%,36,2015
Fully Paid,710,714,1148.00%,13.92,36 months,Source Verified,B,B5,Dec-2015,80000,credit_card,0,712,700-749,0.1148,10-15%,0-20%,36,2015
Fully Paid,665,669,1288.00%,23.23,60 months,Not Verified,C,C2,Dec-2015,33000,credit_card,0,667,650-699,0.1288,10-15%,20-35%,60,2015
Fully Paid,660,664,917.00%,2.8,36 months,Not Verified,B,B2,Dec-2015,72000,credit_card,0,662,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,675,679,849.00%,12.51,36 months,Source Verified,B,B1,Dec-2015,70000,credit_card,0,677,650-699,0.0849,<10%,0-20%,36,2015
Fully Paid,670,674,1199.00%,14.79,36 months,Verified,C,C1,Dec-2015,14688,credit_card,0,672,650-699,0.1199,10-15%,0-20%,36,2015
Fully Paid,705,709,1727.00%,33.75,36 months,Not Verified,D,D3,Dec-2015,50000,other,0,707,700-749,0.1727,15-20%,20-35%,36,2015
Fully Paid,685,689,917.00%,31.62,36 months,Not Verified,B,B2,Dec-2015,48112,credit_card,0,687,650-699,0.0917,<10%,20-35%,36,2015
Fully Paid,690,694,1288.00%,23.98,36 months,Not Verified,C,C2,Dec-2015,40000,debt_consolidation,0,692,650-699,0.1288,10-15%,20-35%,36,2015
Fully Paid,705,709,1078.00%,16.7,36 months,Source Verified,B,B4,Dec-2015,75000,debt_consolidation,0,707,700-749,0.1078,10-15%,0-20%,36,2015
Fully Paid,690,694,1078.00%,18.34,36 months,Source Verified,B,B4,Dec-2015,57000,debt_consolidation,0,692,650-699,0.1078,10-15%,0-20%,36,2015
Current,710,714,1727.00%,18.6,60 months,Not Verified,D,D3,Dec-2015,34000,credit_card,0,712,700-749,0.1727,15-20%,0-20%,60,2015
Fully Paid,680,684,532.00%,20.37,36 months,Source Verified,A,A1,Dec-2015,43000,debt_consolidation,0,682,650-699,0.0532,<10%,20-35%,36,2015
Charged Off,700,704,2050.00%,37.26,60 months,Source Verified,E,E4,Dec-2015,84000,debt_consolidation,1,702,700-749,0.205,20%+,35-45%,60,2015
Fully Paid,800,804,532.00%,16.95,36 months,Not Verified,A,A1,Dec-2015,81000,credit_card,0,802,750+,0.0532,<10%,0-20%,36,2015
Fully Paid,715,719,849.00%,27.58,36 months,Verified,B,B1,Dec-2015,168400,other,0,717,700-749,0.0849,<10%,20-35%,36,2015
Fully Paid,720,724,1344.00%,11.19,36 months,Source Verified,C,C3,Dec-2015,34000,debt_consolidation,0,722,700-749,0.1344,10-15%,0-20%,36,2015
Fully Paid,720,724,749.00%,22.42,36 months,Not Verified,A,A4,Dec-2015,62000,debt_consolidation,0,722,700-749,0.0749,<10%,20-35%,36,2015
Fully Paid,680,684,1148.00%,26.9,36 months,Not Verified,B,B5,Dec-2015,72000,other,0,682,650-699,0.1148,10-15%,20-35%,36,2015
Fully Paid,690,694,849.00%,13.54,36 months,Source Verified,B,B1,Dec-2015,115000,credit_card,0,692,650-699,0.0849,<10%,0-20%,36,2015
Fully Paid,720,724,1199.00%,10.12,36 months,Source Verified,C,C1,Dec-2015,35000,debt_consolidation,0,722,700-749,0.1199,10-15%,0-20%,36,2015
Charged Off,660,664,1659.00%,10.17,60 months,Not Verified,D,D2,Dec-2015,55000,debt_consolidation,1,662,650-699,0.1659,15-20%,0-20%,60,2015
Fully Paid,685,689,849.00%,17.42,36 months,Verified,B,B1,Dec-2015,60000,debt_consolidation,0,687,650-699,0.0849,<10%,0-20%,36,2015
Fully Paid,670,674,917.00%,16.86,36 months,Source Verified,B,B2,Dec-2015,105000,credit_card,0,672,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,700,704,791.00%,21.05,36 months,Source Verified,A,A5,Dec-2015,102000,credit_card,0,702,700-749,0.0791,<10%,20-35%,36,2015
Fully Paid,685,689,1148.00%,15.6,36 months,Verified,B,B5,Dec-2015,33000,credit_card,0,687,650-699,0.1148,10-15%,0-20%,36,2015
Fully Paid,680,684,917.00%,12.2,36 months,Source Verified,B,B2,Dec-2015,48000,car,0,682,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,710,714,791.00%,26.32,36 months,Not Verified,A,A5,Dec-2015,70000,credit_card,0,712,700-749,0.0791,<10%,20-35%,36,2015
Fully Paid,670,674,1344.00%,15.56,36 months,Not Verified,C,C3,Dec-2015,80000,credit_card,0,672,650-699,0.1344,10-15%,0-20%,36,2015
Fully Paid,765,769,791.00%,14.76,36 months,Source Verified,A,A5,Dec-2015,95000,debt_consolidation,0,767,750+,0.0791,<10%,0-20%,36,2015
Charged Off,705,709,1078.00%,25.98,60 months,Not Verified,B,B4,Dec-2015,56000,other,1,707,700-749,0.1078,10-15%,20-35%,60,2015
Late (31-120 days),695,699,849.00%,12.25,60 months,Not Verified,B,B1,Dec-2015,96000,car,1,697,650-699,0.0849,<10%,0-20%,60,2015
Fully Paid,665,669,1199.00%,17.56,36 months,Source Verified,C,C1,Dec-2015,65000,debt_consolidation,0,667,650-699,0.1199,10-15%,0-20%,36,2015
Fully Paid,725,729,532.00%,15.82,36 months,Not Verified,A,A1,Dec-2015,120000,credit_card,0,727,700-749,0.0532,<10%,0-20%,36,2015
Fully Paid,685,689,1344.00%,10.17,36 months,Verified,C,C3,Dec-2015,75600,debt_consolidation,0,687,650-699,0.1344,10-15%,0-20%,36,2015
Fully Paid,675,679,1577.00%,25.31,36 months,Not Verified,D,D1,Dec-2015,53867,debt_consolidation,0,677,650-699,0.1577,15-20%,20-35%,36,2015
Charged Off,660,664,2313.00%,25.3,36 months,Source Verified,F,F2,Dec-2015,50000,debt_consolidation,1,662,650-699,0.2313,20%+,20-35%,36,2015
Charged Off,695,699,1078.00%,19.96,36 months,Not Verified,B,B4,Dec-2015,66000,car,1,697,650-699,0.1078,10-15%,0-20%,36,2015
Current,690,694,980.00%,23.27,60 months,Not Verified,B,B3,Dec-2015,84000,credit_card,0,692,650-699,0.098,<10%,20-35%,60,2015
Fully Paid,700,704,649.00%,29.15,36 months,Not Verified,A,A2,Dec-2015,55000,debt_consolidation,0,702,700-749,0.0649,<10%,20-35%,36,2015
Fully Paid,735,739,749.00%,12.18,36 months,Not Verified,A,A4,Dec-2015,100000,credit_card,0,737,700-749,0.0749,<10%,0-20%,36,2015
Fully Paid,680,684,980.00%,18.54,36 months,Source Verified,B,B3,Dec-2015,103000,debt_consolidation,0,682,650-699,0.098,<10%,0-20%,36,2015
Fully Paid,710,714,1148.00%,19.13,36 months,Verified,B,B5,Dec-2015,107000,credit_card,0,712,700-749,0.1148,10-15%,0-20%,36,2015
Charged Off,660,664,1399.00%,14.52,60 months,Verified,C,C4,Dec-2015,69998,debt_consolidation,1,662,650-699,0.1399,10-15%,0-20%,60,2015
Fully Paid,685,689,1199.00%,16.98,60 months,Not Verified,C,C1,Dec-2015,60000,debt_consolidation,0,687,650-699,0.1199,10-15%,0-20%,60,2015
Fully Paid,700,704,1078.00%,17.19,36 months,Not Verified,B,B4,Dec-2015,81000,debt_consolidation,0,702,700-749,0.1078,10-15%,0-20%,36,2015
Fully Paid,705,709,849.00%,24.49,36 months,Not Verified,B,B1,Dec-2015,35000,credit_card,0,707,700-749,0.0849,<10%,20-35%,36,2015
Fully Paid,725,729,1148.00%,22.64,36 months,Verified,B,B5,Dec-2015,100000,debt_consolidation,0,727,700-749,0.1148,10-15%,20-35%,36,2015
Fully Paid,685,689,791.00%,28.73,36 months,Not Verified,A,A5,Dec-2015,77000,debt_consolidation,0,687,650-699,0.0791,<10%,20-35%,36,2015
Fully Paid,695,699,1485.00%,18.69,60 months,Verified,C,C5,Dec-2015,70000,credit_card,0,697,650-699,0.1485,10-15%,0-20%,60,2015
Charged Off,680,684,1849.00%,25.38,60 months,Verified,D,D5,Dec-2015,61000,debt_consolidation,1,682,650-699,0.1849,15-20%,20-35%,60,2015
Late (31-120 days),730,734,1199.00%,29.56,36 months,Source Verified,C,C1,Dec-2015,60000,debt_consolidation,1,732,700-749,0.1199,10-15%,20-35%,36,2015
Fully Paid,730,734,791.00%,23.76,36 months,Not Verified,A,A5,Dec-2015,63800,debt_consolidation,0,732,700-749,0.0791,<10%,20-35%,36,2015
Fully Paid,665,669,917.00%,11.86,36 months,Source Verified,B,B2,Dec-2015,52000,major_purchase,0,667,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,685,689,1485.00%,19.18,36 months,Source Verified,C,C5,Dec-2015,42240,home_improvement,0,687,650-699,0.1485,10-15%,0-20%,36,2015
Current,680,684,1899.00%,13.32,60 months,Source Verified,E,E1,Dec-2015,82000,debt_consolidation,0,682,650-699,0.1899,15-20%,0-20%,60,2015
Fully Paid,690,694,1899.00%,29.37,60 months,Source Verified,E,E1,Dec-2015,70000,debt_consolidation,0,692,650-699,0.1899,15-20%,20-35%,60,2015
Fully Paid,745,749,649.00%,21.3,36 months,Not Verified,A,A2,Dec-2015,120000,credit_card,0,747,700-749,0.0649,<10%,20-35%,36,2015
Fully Paid,660,664,917.00%,16.1,36 months,Not Verified,B,B2,Dec-2015,70000,moving,0,662,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,665,669,980.00%,12.07,36 months,Source Verified,B,B3,Dec-2015,100000,debt_consolidation,0,667,650-699,0.098,<10%,0-20%,36,2015
Current,785,789,849.00%,20.04,60 months,Not Verified,B,B1,Dec-2015,40000,credit_card,0,787,750+,0.0849,<10%,20-35%,60,2015
Fully Paid,670,674,1577.00%,25.65,36 months,Verified,D,D1,Dec-2015,56000,debt_consolidation,0,672,650-699,0.1577,15-20%,20-35%,36,2015
Fully Paid,670,674,1849.00%,15.54,60 months,Source Verified,D,D5,Dec-2015,145000,debt_consolidation,0,672,650-699,0.1849,15-20%,0-20%,60,2015
Fully Paid,710,714,791.00%,23.69,36 months,Not Verified,A,A5,Dec-2015,160000,home_improvement,0,712,700-749,0.0791,<10%,20-35%,36,2015
Fully Paid,710,714,980.00%,5.71,60 months,Source Verified,B,B3,Dec-2015,205000,moving,0,712,700-749,0.098,<10%,0-20%,60,2015
Fully Paid,810,814,1659.00%,24.15,60 months,Source Verified,D,D2,Dec-2015,65000,debt_consolidation,0,812,750+,0.1659,15-20%,20-35%,60,2015
Fully Paid,680,684,1797.00%,22.57,60 months,Not Verified,D,D4,Dec-2015,105000,debt_consolidation,0,682,650-699,0.1797,15-20%,20-35%,60,2015
Fully Paid,715,719,1727.00%,20.73,36 months,Verified,D,D3,Dec-2015,54000,debt_consolidation,0,717,700-749,0.1727,15-20%,20-35%,36,2015
Current,720,724,1078.00%,26.88,60 months,Source Verified,B,B4,Dec-2015,82000,credit_card,0,722,700-749,0.1078,10-15%,20-35%,60,2015
Fully Paid,670,674,1659.00%,14.95,60 months,Source Verified,D,D2,Dec-2015,139000,credit_card,0,672,650-699,0.1659,15-20%,0-20%,60,2015
Charged Off,680,684,791.00%,11.52,36 months,Not Verified,A,A5,Dec-2015,60000,credit_card,1,682,650-699,0.0791,<10%,0-20%,36,2015
Fully Paid,700,704,749.00%,15.05,36 months,Source Verified,A,A4,Dec-2015,55500,debt_consolidation,0,702,700-749,0.0749,<10%,0-20%,36,2015
Fully Paid,660,664,1485.00%,20.54,36 months,Verified,C,C5,Dec-2015,53040,credit_card,0,662,650-699,0.1485,10-15%,20-35%,36,2015
Current,680,684,1344.00%,18.46,60 months,Source Verified,C,C3,Dec-2015,75000,debt_consolidation,0,682,650-699,0.1344,10-15%,0-20%,60,2015
Fully Paid,780,784,532.00%,8.75,36 months,Not Verified,A,A1,Dec-2015,75000,debt_consolidation,0,782,750+,0.0532,<10%,0-20%,36,2015
Fully Paid,710,714,1199.00%,22.47,60 months,Source Verified,C,C1,Dec-2015,155000,house,0,712,700-749,0.1199,10-15%,20-35%,60,2015
Fully Paid,700,704,1989.00%,14.39,60 months,Source Verified,E,E3,Dec-2015,80000,small_business,0,702,700-749,0.1989,15-20%,0-20%,60,2015
Fully Paid,685,689,849.00%,18.56,36 months,Verified,B,B1,Dec-2015,77700,debt_consolidation,0,687,650-699,0.0849,<10%,0-20%,36,2015
Fully Paid,660,664,1399.00%,14.21,36 months,Source Verified,C,C4,Dec-2015,88000,debt_consolidation,0,662,650-699,0.1399,10-15%,0-20%,36,2015
Fully Paid,690,694,917.00%,14.47,60 months,Source Verified,B,B2,Dec-2015,76008,debt_consolidation,0,692,650-699,0.0917,<10%,0-20%,60,2015
Fully Paid,715,719,791.00%,24.86,36 months,Not Verified,A,A5,Dec-2015,71000,debt_consolidation,0,717,700-749,0.0791,<10%,20-35%,36,2015
Fully Paid,670,674,791.00%,11.07,36 months,Source Verified,A,A5,Dec-2015,42500,credit_card,0,672,650-699,0.0791,<10%,0-20%,36,2015
Fully Paid,800,804,749.00%,37.56,36 months,Not Verified,A,A4,Dec-2015,33000,debt_consolidation,0,802,750+,0.0749,<10%,35-45%,36,2015
Charged Off,660,664,1399.00%,5.7,60 months,Not Verified,C,C4,Dec-2015,52000,debt_consolidation,1,662,650-699,0.1399,10-15%,0-20%,60,2015
Fully Paid,725,729,980.00%,22.29,36 months,Source Verified,B,B3,Dec-2015,45000,car,0,727,700-749,0.098,<10%,20-35%,36,2015
Fully Paid,660,664,1344.00%,13.58,36 months,Source Verified,C,C3,Dec-2015,111000,major_purchase,0,662,650-699,0.1344,10-15%,0-20%,36,2015
Fully Paid,685,689,1577.00%,14.33,36 months,Source Verified,D,D1,Dec-2015,70000,other,0,687,650-699,0.1577,15-20%,0-20%,36,2015
Current,670,674,791.00%,19.39,36 months,Source Verified,A,A5,Dec-2015,54000,debt_consolidation,0,672,650-699,0.0791,<10%,0-20%,36,2015
Fully Paid,725,729,1199.00%,2.56,36 months,Source Verified,C,C1,Dec-2015,76000,credit_card,0,727,700-749,0.1199,10-15%,0-20%,36,2015
Fully Paid,715,719,1078.00%,38.05,36 months,Verified,B,B4,Dec-2015,55000,credit_card,0,717,700-749,0.1078,10-15%,35-45%,36,2015
Fully Paid,690,694,1727.00%,15.77,36 months,Source Verified,D,D3,Dec-2015,80000,home_improvement,0,692,650-699,0.1727,15-20%,0-20%,36,2015
Fully Paid,735,739,532.00%,20.04,36 months,Not Verified,A,A1,Dec-2015,106000,debt_consolidation,0,737,700-749,0.0532,<10%,20-35%,36,2015
Fully Paid,735,739,532.00%,21.96,36 months,Not Verified,A,A1,Dec-2015,76000,debt_consolidation,0,737,700-749,0.0532,<10%,20-35%,36,2015
Fully Paid,705,709,849.00%,33.54,36 months,Not Verified,B,B1,Dec-2015,35000,credit_card,0,707,700-749,0.0849,<10%,20-35%,36,2015
Fully Paid,665,669,1078.00%,18.42,36 months,Not Verified,B,B4,Dec-2015,155000,debt_consolidation,0,667,650-699,0.1078,10-15%,0-20%,36,2015
Current,750,754,849.00%,3.48,60 months,Not Verified,B,B1,Dec-2015,92000,debt_consolidation,0,752,750+,0.0849,<10%,0-20%,60,2015
Charged Off,660,664,1659.00%,10.8,36 months,Not Verified,D,D2,Dec-2015,40000,debt_consolidation,1,662,650-699,0.1659,15-20%,0-20%,36,2015
Fully Paid,700,704,1659.00%,27.22,36 months,Verified,D,D2,Dec-2015,105000,credit_card,0,702,700-749,0.1659,15-20%,20-35%,36,2015
Fully Paid,665,669,1399.00%,12.55,36 months,Source Verified,C,C4,Dec-2015,210000,debt_consolidation,0,667,650-699,0.1399,10-15%,0-20%,36,2015
Charged Off,705,709,1399.00%,33.12,36 months,Source Verified,C,C4,Dec-2015,52000,debt_consolidation,1,707,700-749,0.1399,10-15%,20-35%,36,2015
Fully Paid,665,669,1659.00%,14.28,36 months,Verified,D,D2,Dec-2015,19000,debt_consolidation,0,667,650-699,0.1659,15-20%,0-20%,36,2015
Charged Off,680,684,1849.00%,32.18,36 months,Not Verified,D,D5,Dec-2015,54000,house,1,682,650-699,0.1849,15-20%,20-35%,36,2015
Charged Off,685,689,1485.00%,33.29,36 months,Not Verified,C,C5,Dec-2015,120000,other,1,687,650-699,0.1485,10-15%,20-35%,36,2015
Fully Paid,680,684,2313.00%,35.7,60 months,Verified,F,F2,Dec-2015,43435,debt_consolidation,0,682,650-699,0.2313,20%+,35-45%,60,2015
Fully Paid,705,709,749.00%,27.2,36 months,Not Verified,A,A4,Dec-2015,106000,debt_consolidation,0,707,700-749,0.0749,<10%,20-35%,36,2015
Fully Paid,685,689,917.00%,22.05,36 months,Verified,B,B2,Dec-2015,65000,major_purchase,0,687,650-699,0.0917,<10%,20-35%,36,2015
Fully Paid,680,684,1288.00%,38.61,36 months,Source Verified,C,C2,Dec-2015,47000,debt_consolidation,0,682,650-699,0.1288,10-15%,35-45%,36,2015
Fully Paid,705,709,532.00%,15.9,36 months,Not Verified,A,A1,Dec-2015,135000,debt_consolidation,0,707,700-749,0.0532,<10%,0-20%,36,2015
Fully Paid,670,674,1344.00%,24.66,36 months,Verified,C,C3,Dec-2015,110000,debt_consolidation,0,672,650-699,0.1344,10-15%,20-35%,36,2015
Current,680,684,1989.00%,16.67,60 months,Verified,E,E3,Dec-2015,69201,credit_card,0,682,650-699,0.1989,15-20%,0-20%,60,2015
Fully Paid,680,684,1078.00%,16.27,36 months,Source Verified,B,B4,Dec-2015,29500,debt_consolidation,0,682,650-699,0.1078,10-15%,0-20%,36,2015
Fully Paid,660,664,2148.00%,8.09,60 months,Source Verified,E,E5,Dec-2015,86000,debt_consolidation,0,662,650-699,0.2148,20%+,0-20%,60,2015
Charged Off,700,704,980.00%,2.96,36 months,Not Verified,B,B3,Dec-2015,125000,home_improvement,1,702,700-749,0.098,<10%,0-20%,36,2015
Fully Paid,680,684,1078.00%,24.06,36 months,Source Verified,B,B4,Dec-2015,85000,debt_consolidation,0,682,650-699,0.1078,10-15%,20-35%,36,2015
Fully Paid,780,784,532.00%,29.87,36 months,Not Verified,A,A1,Dec-2015,45000,debt_consolidation,0,782,750+,0.0532,<10%,20-35%,36,2015
Fully Paid,715,719,791.00%,11.95,36 months,Source Verified,A,A5,Dec-2015,112000,credit_card,0,717,700-749,0.0791,<10%,0-20%,36,2015
Fully Paid,690,694,1078.00%,26.66,36 months,Source Verified,B,B4,Dec-2015,105000,credit_card,0,692,650-699,0.1078,10-15%,20-35%,36,2015
Fully Paid,685,689,2313.00%,21.14,36 months,Verified,F,F2,Dec-2015,31200,other,0,687,650-699,0.2313,20%+,20-35%,36,2015
Fully Paid,690,694,532.00%,16.42,36 months,Source Verified,A,A1,Dec-2015,72000,debt_consolidation,0,692,650-699,0.0532,<10%,0-20%,36,2015
Fully Paid,660,664,1399.00%,29.79,36 months,Verified,C,C4,Dec-2015,34000,credit_card,0,662,650-699,0.1399,10-15%,20-35%,36,2015
Fully Paid,675,679,2424.00%,26.18,36 months,Verified,F,F3,Dec-2015,55702,debt_consolidation,0,677,650-699,0.2424,20%+,20-35%,36,2015
Fully Paid,690,694,980.00%,25.43,36 months,Source Verified,B,B3,Dec-2015,175000,credit_card,0,692,650-699,0.098,<10%,20-35%,36,2015
Fully Paid,740,744,532.00%,28.49,36 months,Not Verified,A,A1,Dec-2015,26000,credit_card,0,742,700-749,0.0532,<10%,20-35%,36,2015
Fully Paid,675,679,1344.00%,22.7,60 months,Verified,C,C3,Dec-2015,96000,credit_card,0,677,650-699,0.1344,10-15%,20-35%,60,2015
Fully Paid,675,679,1485.00%,20.45,60 months,Verified,C,C5,Dec-2015,96000,debt_consolidation,0,677,650-699,0.1485,10-15%,20-35%,60,2015
Fully Paid,735,739,649.00%,26.03,36 months,Not Verified,A,A2,Dec-2015,124400,credit_card,0,737,700-749,0.0649,<10%,20-35%,36,2015
Fully Paid,775,779,1344.00%,6.39,60 months,Not Verified,C,C3,Dec-2015,50000,home_improvement,0,777,750+,0.1344,10-15%,0-20%,60,2015
Fully Paid,675,679,980.00%,11.99,36 months,Source Verified,B,B3,Dec-2015,130000,credit_card,0,677,650-699,0.098,<10%,0-20%,36,2015
Fully Paid,720,724,649.00%,13.16,36 months,Not Verified,A,A2,Dec-2015,52600,debt_consolidation,0,722,700-749,0.0649,<10%,0-20%,36,2015
Current,675,679,1659.00%,21.49,60 months,Verified,D,D2,Dec-2015,118000,debt_consolidation,0,677,650-699,0.1659,15-20%,20-35%,60,2015
Fully Paid,685,689,1899.00%,18.41,36 months,Verified,E,E1,Dec-2015,28948.92,credit_card,0,687,650-699,0.1899,15-20%,0-20%,36,2015
Fully Paid,740,744,699.00%,19.34,36 months,Source Verified,A,A3,Dec-2015,100200,credit_card,0,742,700-749,0.0699,<10%,0-20%,36,2015
Fully Paid,715,719,791.00%,9.28,36 months,Not Verified,A,A5,Dec-2015,90000,credit_card,0,717,700-749,0.0791,<10%,0-20%,36,2015
Fully Paid,660,664,1078.00%,25.36,36 months,Verified,B,B4,Dec-2015,38000,debt_consolidation,0,662,650-699,0.1078,10-15%,20-35%,36,2015
Fully Paid,710,714,791.00%,28.36,36 months,Not Verified,A,A5,Dec-2015,60000,other,0,712,700-749,0.0791,<10%,20-35%,36,2015
Fully Paid,825,829,532.00%,14.79,36 months,Not Verified,A,A1,Dec-2015,82500,credit_card,0,827,750+,0.0532,<10%,0-20%,36,2015
Charged Off,675,679,1344.00%,21.56,60 months,Not Verified,C,C3,Dec-2015,75000,debt_consolidation,1,677,650-699,0.1344,10-15%,20-35%,60,2015
Fully Paid,710,714,1199.00%,19.75,36 months,Source Verified,C,C1,Dec-2015,130000,debt_consolidation,0,712,700-749,0.1199,10-15%,0-20%,36,2015
Fully Paid,695,699,1344.00%,23.85,36 months,Verified,C,C3,Dec-2015,64000,credit_card,0,697,650-699,0.1344,10-15%,20-35%,36,2015
Fully Paid,690,694,649.00%,17.15,36 months,Source Verified,A,A2,Dec-2015,105000,debt_consolidation,0,692,650-699,0.0649,<10%,0-20%,36,2015
Fully Paid,695,699,1199.00%,23.47,36 months,Not Verified,C,C1,Dec-2015,45000,debt_consolidation,0,697,650-699,0.1199,10-15%,20-35%,36,2015
Charged Off,700,704,1288.00%,24.39,36 months,Not Verified,C,C2,Dec-2015,84000,debt_consolidation,1,702,700-749,0.1288,10-15%,20-35%,36,2015
Fully Paid,680,684,532.00%,21.6,36 months,Source Verified,A,A1,Dec-2015,205200,credit_card,0,682,650-699,0.0532,<10%,20-35%,36,2015
Current,675,679,1659.00%,30.41,60 months,Verified,D,D2,Dec-2015,62000,debt_consolidation,0,677,650-699,0.1659,15-20%,20-35%,60,2015
Fully Paid,675,679,1797.00%,17.02,60 months,Source Verified,D,D4,Dec-2015,65000,debt_consolidation,0,677,650-699,0.1797,15-20%,0-20%,60,2015
Current,705,709,1399.00%,29.06,60 months,Not Verified,C,C4,Dec-2015,62000,credit_card,0,707,700-749,0.1399,10-15%,20-35%,60,2015
Charged Off,660,664,1288.00%,19.76,60 months,Not Verified,C,C2,Dec-2015,73000,credit_card,1,662,650-699,0.1288,10-15%,0-20%,60,2015
Fully Paid,675,679,917.00%,18.59,36 months,Source Verified,B,B2,Dec-2015,35000,home_improvement,0,677,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,685,689,980.00%,5.79,36 months,Source Verified,B,B3,Dec-2015,47500,debt_consolidation,0,687,650-699,0.098,<10%,0-20%,36,2015
Fully Paid,660,664,1148.00%,20.64,36 months,Not Verified,B,B5,Dec-2015,86000,major_purchase,0,662,650-699,0.1148,10-15%,20-35%,36,2015
Fully Paid,790,794,1078.00%,15.95,36 months,Not Verified,B,B4,Dec-2015,65000,major_purchase,0,792,750+,0.1078,10-15%,0-20%,36,2015
Fully Paid,750,754,532.00%,9.14,36 months,Not Verified,A,A1,Dec-2015,300000,home_improvement,0,752,750+,0.0532,<10%,0-20%,36,2015
Fully Paid,680,684,791.00%,16.17,36 months,Source Verified,A,A5,Dec-2015,250000,other,0,682,650-699,0.0791,<10%,0-20%,36,2015
Charged Off,700,704,917.00%,22.5,36 months,Not Verified,B,B2,Dec-2015,110000,debt_consolidation,1,702,700-749,0.0917,<10%,20-35%,36,2015
Fully Paid,665,669,1199.00%,16.58,36 months,Verified,C,C1,Dec-2015,22000,debt_consolidation,0,667,650-699,0.1199,10-15%,0-20%,36,2015
